product_id,product_name,category,price,stock_quantity,first_available
1,Buffalo Stilton Cheese,Food - Cheese,8.99,44,12/10/2024
2,Chocolate Chip Energy Balls,Food - Snacks,3.99,218,10/03/2025
3,Organic Tomato Ketchup,Food - Condiments,3.49,143,28/04/2025
4,Juice Extractor,Kitchen,99.99,72,03/11/2023
5,Car Sunshade,Automotive,19.99,485,17/02/2025
6,Garden Hose Reel,Garden,49.99,399,20/01/2024
7,Herbed Mushroom Risotto,Food - Prepared Foods,5.49,428,27/05/2025
8,Underwater Camera,Photography,199.99,362,01/02/2025
9,Sketchbook,Art Supplies,14.99,432,31/10/2024
10,Mechanical Pencil Set,Office,19.99,251,21/02/2025
11,Cotton Sweatpants,Clothing - Bottoms,29.99,471,09/07/2024
12,Video Camera,Electronics,199,489,16/08/2023
13,Dish Rack,Kitchen,24.99,6,29/10/2024
14,Sweet Chili Dipping Sauce,Food - Condiments,2.99,488,23/10/2024
15,Chocolate Mint Protein Shake,Food - Beverages,3.99,207,29/05/2024
16,Reusable Produce Bags Set,Kitchen,14.99,475,22/03/2023
17,Chickpea Pasta,Food - Pasta,4.19,9,24/05/2023
18,Chicken Broth,Food - Canned Goods,2.49,484,20/11/2024
19,Pet Caress Brush,Pets,12.99,350,20/08/2023
20,Fleece Lined Leggings,Clothing,29.99,399,29/01/2025
21,Colorful Post-It Notes Set,Office,9.99,61,26/08/2023
22,Pizza Stone,Kitchen,29.99,391,28/04/2023
23,Infrared Thermometer Gun,Health,29.99,75,25/03/2025
24,Kids' Outdoor Explorer Kit,Toys,24.99,396,27/11/2023
25,Adjustable Garden Rake,Garden,22.99,211,13/11/2023
26,Canned Coconut Milk,Food - Canned Goods,1.89,267,24/09/2024
27,Warm Knit Beanie,Clothing - Accessories,19.99,290,07/07/2025
28,Inflatable Paddle Board,Outdoor,349.99,221,02/04/2024
29,Portable Hammock Swing,Outdoor,59.99,475,04/02/2024
30,Classic Caesar Salad Kit,Food - Salads,4.99,396,01/10/2024
31,Chipotle Seasoning Blend,Food - Spices,2.49,269,31/08/2024
32,Pistachios,Food - Nuts,6.99,20,05/11/2023
33,Cranberry Orange Oatmeal,Food - Breakfast,2.49,443,22/07/2024
34,Pet Bed with Removable Cover,Pets,49.99,22,14/08/2024
35,USB Desk Fan,Home,14.99,100,08/08/2023
36,Strawberry Rhubarb Jam,Food - Condiments,4.29,263,05/10/2024
37,Herb-Infused Olive Oil,Food - Oils,8.99,291,18/10/2022
38,Lemon Pepper Seasoning,Food - Seasonings,3.29,220,02/11/2022
39,Organic Cucumber,Food - Vegetables,1.29,204,08/12/2023
40,Roasted Chickpeas,Food - Snacks,2.99,34,12/07/2023
41,Tailgating Set,Outdoor,89.99,58,30/03/2024
42,Magnetic Chess Set,Toys,19.99,103,28/01/2023
43,Children's Science Experiment Lab Kit,Toys,29.99,349,25/08/2024
44,Sturdy Bookends,Office,22.99,357,13/10/2024
45,Acoustic Guitar,Music,199.99,142,07/03/2023
46,Spicy Hummus,Food - Deli,3.49,149,19/12/2023
47,Over-Ear Headphones,Audio,59.99,108,21/09/2023
48,Sriracha Sauce,Food - Condiments,3.19,283,27/12/2022
49,Frozen Burritos,Food - Frozen Foods,8.99,422,30/12/2024
50,Children's Educational Puzzle,Toys,19.99,317,07/10/2023
